feature,cn_name,representative,is_representative,corr_with_rep,rank
macd_golden_cross_rankpct,指数平滑异同移动平均线_golden_cross｜当日横截面百分位,macd_golden_cross_rankpct,True,1.0,40
REF_HIGH_60,"Ref(H̃,60)/C̃",DELTA_OPEN_60,False,-0.990648325371113,41
high_mean_20,20日高点均值,bb_lower,False,0.997795533812003,43
close_lag_15,收盘价｜滞后15日,bb_lower,False,0.9948796892271702,44
AMT20,"流动性｜log(Mean(A,20))",ILLIQ20,False,-0.934879014421778,45
REF_LOW_60,"Ref(L̃,60)/C̃",DELTA_OPEN_60,False,-0.9896576029994281,46
amihud_illiq_intraday_z,Amihud非流动性(日内)_illiq_intraday｜当日横截面稳健标准化,amihud_illiq_intraday_z,True,1.0,47
AMIHUD_TURN20,换手口径 Amihud 非流动性二十日均值,AMIHUD_TURN20,True,1.0,48
rsi_oversold_14_rankpct,相对强弱指标oversold_14｜当日横截面百分位,rsi_oversold_14_rankpct,True,1.0,50
stoch_oversold_rankpct,随机指标状态oversold｜当日横截面百分位,stoch_oversold_rankpct,True,1.0,52
DEA_LIFT_CLOSE_NORM,金叉DEA抬升幅度收盘价归一,DEA_LIFT_CLOSE_NORM,True,1.0,53
MKT_SZ_AMPLITUDE,市场状态｜深证成指 (H-L)/L,MKT_SZ_AMPLITUDE,True,1.0,55
ma_arrangement_rankpct,均线排列｜当日横截面百分位,ma_arrangement_rankpct,True,1.0,56
rsi_overbought_24_rankpct,相对强弱指标overbought_24｜当日横截面百分位,rsi_overbought_24_rankpct,True,1.0,57
macd_signal_rankpct,指数平滑异同移动平均线信号线｜当日横截面百分位,macd_signal_rankpct,True,1.0,58
STD_RETID_60,"Std(C/O-1,60)",STD_RETID_60,True,1.0,59
VOL_CONTRACTION60,"波动率｜ATRp/shift(ATRp,60)",VOL_CONTRACTION60,True,1.0,60
DIF_PREV_CLOSE_NORM,前金叉DIF收盘价归一水平,DEA_LIFT_CLOSE_NORM,False,-0.9109821411619669,61
amihud_illiq_intraday_rankpct,Amihud非流动性(日内)_illiq_intraday｜当日横截面百分位,amihud_illiq_intraday_rankpct,True,1.0,62
high_mean_20_z,20日高点均值｜当日横截面稳健标准化,high_mean_20_z,True,1.0,63
LN_FREE_MV,自由流通市值对数,LN_FREE_MV,True,1.0,64
close_lag_30,收盘价｜滞后30日,bb_lower,False,0.9862667705049796,65
MKT_NH_NL_RATIO,市场二百五十日新高占新高新低家数比,MKT_NH_NL_RATIO,True,1.0,66
ST_STATUS,风险警示状态（3=退市整理期 2=*ST 1=ST 0=正常）,ST_STATUS,True,1.0,67
macd_zero_cross_rankpct,指数平滑异同移动平均线_zero_cross｜当日横截面百分位,macd_zero_cross_rankpct,True,1.0,68
COV_CLOSE_LOGV_30,"Cov(C̃,log(V+1),30)",COV_CLOSE_LOGV_30,True,1.0,69
macd_zero_cross_up_rankpct,指数平滑异同移动平均线_zero_cross_up｜当日横截面百分位,macd_zero_cross_rankpct,False,0.997204211015208,70
illiq,非流动性,illiq,True,1.0,71
price_volume_divergence_rankpct,价量背离标记｜当日横截面百分位,price_volume_divergence_rankpct,True,1.0,72
MKT_RSI14,"市场状态｜RSI(C_idx,14)",MKT_RSI14,True,1.0,73
day_of_month,月内日序,day_of_month,True,1.0,74
illiq_lag_1_z,非流动性｜滞后1日｜当日横截面稳健标准化,illiq_lag_1_z,True,1.0,75
VR5_60,"量能｜Mean(V,5)/Mean(V,60)",VR5_60,True,1.0,76
volume_ma_20_z,成交量均线_20｜当日横截面稳健标准化,volume_ma_20_z,True,1.0,77
RSQ_HLR_30,"Rsquare(H/L,30)",RSQ_HLR_30,True,1.0,78
volume_lag_15_rankpct,成交量｜滞后15日｜当日横截面百分位,volume_lag_15_rankpct,True,1.0,79
CORR_CLOSE_RIDX_20,"Corr(C̃,R_idx(000001.SH),20)",CORR_CLOSE_RIDX_20,True,1.0,80
atr_rankpct,平均真实波幅｜当日横截面百分位,atr_rankpct,True,1.0,81
CORR_CLOSE_RIDX_60,"Corr(C̃,R_idx(000001.SH),60)",CORR_CLOSE_RIDX_60,True,1.0,83
MKT_SEAL_RATIO,市场封板率,MKT_SEAL_RATIO,True,1.0,84
close_lag_15_z,收盘价｜滞后15日｜当日横截面稳健标准化,high_mean_20_z,False,0.99766537352089,85
Q80_HLR_30,"Quant(H/L,30,0.8)",Q80_HLR_30,True,1.0,86
close_lag_15_rankpct,收盘价｜滞后15日｜当日横截面百分位,atr_rankpct,False,0.9346203454709029,88
obv_rankpct,能量潮｜当日横截面百分位,obv_rankpct,True,1.0,89
SLOPE_LOW_5,"Slope(L̃,5)/C̃",SLOPE_LOW_5,True,1.0,90
MED_HLR_5,"Med(H/L,5)",MED_HLR_5,True,1.0,91
EMA_LOW_60,"EMA(L̃,60)/C̃",EMA_LOW_60,True,1.0,92
vol_gk_lag_10_z,GK波动率｜滞后10日｜当日横截面稳健标准化,vol_gk_lag_10_z,True,1.0,93
bb_squeeze_rankpct,布林带squeeze｜当日横截面百分位,bb_squeeze_rankpct,True,1.0,95
volume_lag_15_z,成交量｜滞后15日｜当日横截面稳健标准化,volume_ma_20_z,False,0.9008148202683232,96
bb_lower_rankpct,布林带lower｜当日横截面百分位,atr_rankpct,False,0.9187199593665469,98
MED_LOGV_3,"Med(log(V+1),3)",MED_LOGV_3,True,1.0,99
DEA_EVENT_CLOSE_NORM,事件日DEA收盘价归一水平,DEA_EVENT_CLOSE_NORM,True,1.0,100
pv_corr_10_z,量价相关(10日)｜当日横截面稳健标准化,pv_corr_10_z,True,1.0,101
high_mean_20_rankpct,20日高点均值｜当日横截面百分位,atr_rankpct,False,0.9351360893439538,102
close_lag_25,收盘价｜滞后25日,bb_lower,False,0.9895560715096489,103
DIST_52W_LOW,"位置｜C~/Min(L~,250)-1",DIST_52W_LOW,True,1.0,104
IDXMAX_CF_60,"IdxMax(CF,60)/60",IDXMAX_CF_60,True,1.0,105
MKT_LIMITUP_PREM,昨日涨停股当日平均溢价,MKT_LIMITUP_PREM,True,1.0,106
MA200_ABOVE,趋势｜1[C~ > MA200],MA200_ABOVE,True,1.0,107
boxcox_atr,ATR对数变换(log1p),boxcox_atr,True,1.0,108
CORR_R_RIDX_5,"Corr(pct_chg/100,R_idx(000001.SH),5)",CORR_R_RIDX_5,True,1.0,109
Q80_HIGH_30,"Quant(H̃,30,0.8)/C̃",Q80_HIGH_30,True,1.0,110
MEAN_LOW_30,"Mean(L̃,30)/C̃",EMA_LOW_60,False,0.9148665093295567,111
SKEW_HLR_60,"Skew(H/L,60)",SKEW_HLR_60,True,1.0,112
ma_arrangement_z,均线排列｜当日横截面稳健标准化,ma_arrangement_z,True,1.0,113
RSQ_HLR_3,"Rsquare(H/L,3)",RSQ_HLR_3,True,1.0,114
IND_MOM20_EQW,申万一级行业二十日等权动量,MKT_MEDIAN_RET20,False,0.9057627614832409,115
Q20_R_30,"Quant(pct_chg/100,30,0.2)",Q20_R_30,True,1.0,116
RSQ_CF_60,"Rsquare(CF,60)",RSQ_CF_60,True,1.0,117
COV_R_RIDX_30,"Cov(pct_chg/100,R_idx(000001.SH),30)",COV_R_RIDX_20,False,0.9593546525991951,118
SLOPE_OPEN_60,"Slope(Õ,60)/C̃",DELTA_OPEN_60,False,0.9012647163225064,119
Q80_LOW_20,"Quant(L̃,20,0.8)/C̃",Q80_CF_20,False,0.9889169554644172,120
Q80_RETON_30,"Quant(O/PC-1,30,0.8)",Q80_RETON_30,True,1.0,121
IND_CAPIT_PCT120,行业内一百二十日新低附近个股占比,IND_CAPIT_PCT120,True,1.0,122
KURT_A_60,"Kurt(A,60)",KURT_A_60,True,1.0,123
bb_upper,布林带upper,bb_lower,False,0.9968440417935759,124
IDXMAX_LOW_10,"IdxMax(L̃,10)/10",IDXMAX_LOW_10,True,1.0,125
SLOPE_CF_60,"Slope(CF,60)/C̃",MAX_OPEN_60,False,-0.9059875376963773,126
MKT_SH_SZ_SYNC_STRENGTH,市场状态｜|pc_sh - pc_sz|,MKT_SH_SZ_SYNC_STRENGTH,True,1.0,127
CORR_R_RIDX_3,"Corr(pct_chg/100,R_idx(000001.SH),3)",CORR_R_RIDX_3,True,1.0,128
Q80_CF_60,"Quant(CF,60,0.8)/C̃",MAX_OPEN_60,False,0.9182414035987633,129
volume_lag_10_z,成交量｜滞后10日｜当日横截面稳健标准化,volume_ma_20_z,False,0.9111972065809286,130
macd_hist_rankpct,指数平滑异同移动平均线柱｜当日横截面百分位,macd_hist_rankpct,True,1.0,131
Q20_OPEN_60,"Quant(Õ,60,0.2)/C̃",Q20_OPEN_60,True,1.0,132
BREADTH_ABOVE_MA20,"市场宽度｜universe 内 C~>Mean(C~,20) 占比 (自算)",BREADTH_ABOVE_MA20,True,1.0,133
STD_CF_60,"Std(CF,60)/C̃",MAX_OPEN_60,False,0.9434526071121928,134
macd_hist_amplitude,指数平滑异同移动平均线柱_amplitude,macd_hist_amplitude,True,1.0,135
DISPOSAL60,"制度｜C/(Sum(A,60)/Sum(V,60)) - 1 (现价对 60 日 VWAP 成本偏离)",DISPOSAL60,True,1.0,136
MAX_HIGH_30,"Max(H̃,30)/C̃",Q80_HIGH_30,False,0.9332856972609745,137
SKEW_OPEN_20,"Skew(Õ,20)",SKEW_OPEN_20,True,1.0,138
KURT60,"高阶矩｜Kurt(R,60)",KURT60,True,1.0,139
Q80_HIGH_60,"Quant(H̃,60,0.8)/C̃",MAX_OPEN_60,False,0.9298342302504922,140
STD_LOW_10,"Std(L̃,10)/C̃",STD_LOW_10,True,1.0,141
MKT_SH_VOLUME_RATIO,市场状态｜上证指数量/20 日均量,MKT_SH_VOLUME_RATIO,True,1.0,142
macd_robust_rankpct,指数平滑异同移动平均线_robust｜当日横截面百分位,macd_robust_rankpct,True,1.0,143
WMA_RETON_20,"DecayLinear(O/PC-1,20)",WMA_RETON_20,True,1.0,144
rsi_overbought_14_rankpct,相对强弱指标overbought_14｜当日横截面百分位,rsi_overbought_14_rankpct,True,1.0,145
Q20_RETID_30,"Quant(C/O-1,30,0.2)",Q20_RETID_30,True,1.0,146
Q20_HLR_60,"Quant(H/L,60,0.2)",Q20_HLR_60,True,1.0,147
macd_death_cross_rankpct,指数平滑异同移动平均线_death_cross｜当日横截面百分位,macd_death_cross_rankpct,True,1.0,148
Q20_R_60,"Quant(pct_chg/100,60,0.2)",Q20_R_60,True,1.0,149
SKEW_HIGH_60,"Skew(H̃,60)",SKEW_HIGH_60,True,1.0,150
MIN_R_30,"Min(pct_chg/100,30)",MIN_R_30,True,1.0,151
Q80_R_60,"Quant(pct_chg/100,60,0.8)",Q80_R_60,True,1.0,152
Q20_R_20,"Quant(pct_chg/100,20,0.2)",Q20_R_30,False,0.9182836014792158,153
SLOPE_HIGH_5,"Slope(H̃,5)/C̃",SLOPE_HIGH_5,True,1.0,154
IDXMAX_RETON_60,"IdxMax(O/PC-1,60)/60",IDXMAX_RETON_60,True,1.0,155
volume_lag_20_z,成交量｜滞后20日｜当日横截面稳健标准化,volume_lag_20_z,True,1.0,156
volume_lag_30_rankpct,成交量｜滞后30日｜当日横截面百分位,volume_lag_30_rankpct,True,1.0,158
STD_CF_30,"Std(CF,30)/C̃",STD_CF_30,True,1.0,159
MED_CF_30,"Med(CF,30)/C̃",Q80_CF_20,False,0.9368027339575455,160
SLOPE_R_3,"Slope(pct_chg/100,3)",SLOPE_R_3,True,1.0,161
IDXMIN_CF_5,"IdxMin(CF,5)/5",IDXMIN_CF_5,True,1.0,162
MAX_LOGV_5,"Max(log(V+1),5)",MED_LOGV_3,False,0.9605164317817662,163
illiq_z,非流动性｜当日横截面稳健标准化,illiq_z,True,1.0,164
SKEW_V_60,"Skew(V,60)",KURT_A_60,False,0.9406053030076003,165
volume_lag_20_rankpct,成交量｜滞后20日｜当日横截面百分位,volume_lag_20_rankpct,True,1.0,166
STD_OPEN_10,"Std(Õ,10)/C̃",STD_LOW_10,False,0.9507328075072505,168
stoch_overbought_rankpct,随机指标状态overbought｜当日横截面百分位,stoch_overbought_rankpct,True,1.0,169
RESID_MOM60,剔除市场与行业后的六十日残差动量（跳过近五日）,RESID_MOM60,True,1.0,170
KURT_A_5,"Kurt(A,5)",KURT_A_5,True,1.0,171
SKEW_RETON_60,"Skew(O/PC-1,60)",SKEW_RETON_60,True,1.0,172
macd_z,指数平滑异同移动平均线｜当日横截面稳健标准化,macd_z,True,1.0,173
SKEW_VWAP_10,"Skew(A/V,10)",SKEW_VWAP_10,True,1.0,174
MIN_HLR_3,"Min(H/L,3)",MED_HLR_5,False,0.9688094093407007,175
EMA_LOGV_5,"EMA(log(V+1),5)",MED_LOGV_3,False,0.989134733863807,176
MEAN_HIGH_60,"Mean(H̃,60)/C̃",MAX_OPEN_60,False,0.9115256473878511,177
bb_upper_z,布林带upper｜当日横截面稳健标准化,high_mean_20_z,False,0.9976484957219642,178
macd_signal,指数平滑异同移动平均线信号线,macd_signal,True,1.0,179
RESI_HIGH_60,"Resi(H̃,60)/C̃",RESI_HIGH_60,True,1.0,180
MAX_V_20,"Max(V,20)/(x+1)",MAX_V_20,True,1.0,182
MKT_SZ_PRICE_CHANGE,市场状态｜深证成指 (C-O)/O,MKT_SZ_PRICE_CHANGE,True,1.0,183
RET20_CSR,反转×截面｜cs_rank(RET20) 横截面百分位 (全 universe 当日),RET20_CSR,True,1.0,184
MACD_DIF_NORM,技术指标｜DIF/(C~*ATRp),MACD_DIF_NORM,True,1.0,185
RESI_HIGH_30,"Resi(H̃,30)/C̃",RESI_HIGH_30,True,1.0,186
DELTA_OPEN_20,"Delta(Õ,20)/C̃",Q80_HIGH_30,False,-0.901189524717189,187
KURT_HLR_5,"Kurt(H/L,5)",KURT_HLR_5,True,1.0,188
price_vs_ma60_rankpct,价格相对均线偏离60｜当日横截面百分位,price_vs_ma60_rankpct,True,1.0,189
ma_60,移动均线60,bb_lower,False,0.9896601025077066,190
KURT_RETON_60,"Kurt(O/PC-1,60)",KURT_RETON_60,True,1.0,191
MAX_RETID_5,"Max(C/O-1,5)",MAX_RETID_5,True,1.0,192
SKEW_R_30,"Skew(pct_chg/100,30)",SKEW_R_30,True,1.0,193
RSQ_OPEN_30,"Rsquare(Õ,30)",RSQ_OPEN_30,True,1.0,196
MAX_LOGV_10,"Max(log(V+1),10)",MED_LOGV_3,False,0.9539142169410368,197
MKT_SZ_VOLUME_RATIO,市场状态｜深证成指量/20 日均量,MKT_SH_VOLUME_RATIO,False,0.9046658345438007,198
MED_R_10,"Med(pct_chg/100,10)",MED_R_10,True,1.0,199
RSQ_HIGH_60,"Rsquare(H̃,60)",RSQ_CF_60,False,0.9943093729838255,200
MED_RETID_10,"Med(C/O-1,10)",MED_RETID_10,True,1.0,201
illiq_rankpct,非流动性｜当日横截面百分位,illiq_rankpct,True,1.0,202
RSQ_LOW_60,"Rsquare(L̃,60)",RSQ_CF_60,False,0.9925681362262982,203
rsi_overbought_6_rankpct,相对强弱指标overbought_6｜当日横截面百分位,rsi_overbought_6_rankpct,True,1.0,204
volume_lag_3_z,成交量｜滞后3日｜当日横截面稳健标准化,volume_ma_20_z,False,0.90136707279485,205
KURT_R_30,"Kurt(pct_chg/100,30)",KURT_R_30,True,1.0,206
KURT_R_60,"Kurt(pct_chg/100,60)",KURT60,False,0.9626464415986978,207
KURT_RETON_20,"Kurt(O/PC-1,20)",KURT_RETON_20,True,1.0,208
Q20_CF_20,"Quant(CF,20,0.2)/C̃",Q20_CF_20,True,1.0,209
REF_VWAP_30,"Ref(A/V,30)/C",REF_VWAP_30,True,1.0,210
DELTA_OPEN_5,"Delta(Õ,5)/C̃",DELTA_OPEN_5,True,1.0,211
volatility_10d,滚动波动率10d,volatility_10d,True,1.0,212
SLOPE_OPEN_3,"Slope(Õ,3)/C̃",SLOPE_OPEN_3,True,1.0,213
KURT_VWAP_20,"Kurt(A/V,20)",KURT_VWAP_20,True,1.0,214
volume_lag_3_rankpct,成交量｜滞后3日｜当日横截面百分位,volume_lag_3_rankpct,True,1.0,215
MED_HLR_60,"Med(H/L,60)",Q20_HLR_60,False,0.9710439250555548,216
smart_money_diff_lag_5,聪明钱差值｜滞后5日,smart_money_diff_lag_5,True,1.0,218
Q80_CF_30,"Quant(CF,30,0.8)/C̃",Q80_HIGH_30,False,0.99533232596567,219
Q20_R_10,"Quant(pct_chg/100,10,0.2)",Q20_R_10,True,1.0,220
